scenario,cases,compromised,contain_reversible,false_containment,investigate,escalate_human,no_action,expected_disposition_match_rate
approved_maintenance,38,0,0,0,0,0,38,1.0
benign_travel,40,0,0,0,0,1,39,1.0
break_glass_drill,18,0,0,0,0,18,0,1.0
corporate_vpn_geolocation,54,0,0,0,0,0,54,1.0
credential_dump_lateral,41,41,33,0,0,8,0,1.0
malicious_oauth_consent,18,18,13,0,0,5,0,1.0
password_spray_success,46,46,32,0,0,14,0,0.934783
privileged_token_theft,51,51,34,0,0,17,0,1.0
prompt_injection_poisoning,28,13,0,0,28,0,0,0.964286
sensor_conflict,17,6,0,0,17,0,0,1.0
service_account_batch,31,0,0,0,1,0,30,0.967742
telemetry_gap,18,12,0,0,18,0,0,1.0
